EndOfMonth,OfficeName,Suburb,Bedrooms_Group,Tenantable Stock
2019-06,Noarlunga,ABERFOYLE PARK,4+ Bedrooms,4
2019-06,Noarlunga,ALDINGA BEACH,2 Bedrooms,3
2019-06,Noarlunga,ALDINGA BEACH,3 Bedrooms,14
2019-06,Noarlunga,ALDINGA BEACH,4+ Bedrooms,3
2019-06,Noarlunga,CHRISTIE DOWNS,1 Bedroom,69
2019-06,Noarlunga,CHRISTIE DOWNS,2 Bedrooms,172
2019-06,Noarlunga,CHRISTIE DOWNS,3 Bedrooms,349
2019-06,Noarlunga,CHRISTIE DOWNS,4+ Bedrooms,10
2019-06,Noarlunga,CHRISTIES BEACH,1 Bedroom,19
2019-06,Noarlunga,CHRISTIES BEACH,2 Bedrooms,13
2019-06,Noarlunga,CHRISTIES BEACH,3 Bedrooms,40
2019-06,Noarlunga,CHRISTIES BEACH,4+ Bedrooms,4
2019-06,Noarlunga,FLAGSTAFF HILL,2 Bedrooms,1
2019-06,Noarlunga,FLAGSTAFF HILL,3 Bedrooms,2
2019-06,Noarlunga,FLAGSTAFF HILL,4+ Bedrooms,1
2019-06,Noarlunga,HACKHAM,2 Bedrooms,8
2019-06,Noarlunga,HACKHAM,3 Bedrooms,27
2019-06,Noarlunga,HACKHAM,4+ Bedrooms,4
2019-06,Noarlunga,HACKHAM WEST,1 Bedroom,66
2019-06,Noarlunga,HACKHAM WEST,2 Bedrooms,61
2019-06,Noarlunga,HACKHAM WEST,3 Bedrooms,276
2019-06,Noarlunga,HACKHAM WEST,4+ Bedrooms,11
2019-06,Noarlunga,HAPPY VALLEY,3 Bedrooms,14
2019-06,Noarlunga,HUNTFIELD HEIGHTS,1 Bedroom,19
2019-06,Noarlunga,HUNTFIELD HEIGHTS,2 Bedrooms,59
2019-06,Noarlunga,HUNTFIELD HEIGHTS,3 Bedrooms,109
2019-06,Noarlunga,HUNTFIELD HEIGHTS,4+ Bedrooms,3
2019-06,Noarlunga,KANGARILLA,3 Bedrooms,1
2019-06,Noarlunga,MCLAREN VALE,1 Bedroom,8
2019-06,Noarlunga,MCLAREN VALE,3 Bedrooms,3
2019-06,Noarlunga,MOANA,2 Bedrooms,2
2019-06,Noarlunga,MORPHETT VALE,1 Bedroom,142
2019-06,Noarlunga,MORPHETT VALE,2 Bedrooms,306
2019-06,Noarlunga,MORPHETT VALE,3 Bedrooms,368
2019-06,Noarlunga,MORPHETT VALE,4+ Bedrooms,15
2019-06,Noarlunga,NOARLUNGA CENTRE,2 Bedrooms,11
2019-06,Noarlunga,NOARLUNGA DOWNS,1 Bedroom,4
2019-06,Noarlunga,NOARLUNGA DOWNS,2 Bedrooms,124
2019-06,Noarlunga,NOARLUNGA DOWNS,3 Bedrooms,180
2019-06,Noarlunga,NOARLUNGA DOWNS,4+ Bedrooms,2
2019-06,Noarlunga,O'HALLORAN HILL,2 Bedrooms,15
2019-06,Noarlunga,O'HALLORAN HILL,3 Bedrooms,2
2019-06,Noarlunga,O'SULLIVAN BEACH,1 Bedroom,22
2019-06,Noarlunga,O'SULLIVAN BEACH,2 Bedrooms,6
2019-06,Noarlunga,O'SULLIVAN BEACH,3 Bedrooms,31
2019-06,Noarlunga,OLD NOARLUNGA,3 Bedrooms,1
2019-06,Noarlunga,OLD REYNELLA,2 Bedrooms,2
2019-06,Noarlunga,OLD REYNELLA,4+ Bedrooms,1
2019-06,Noarlunga,PORT NOARLUNGA,1 Bedroom,32
2019-06,Noarlunga,PORT NOARLUNGA,2 Bedrooms,12
2019-06,Noarlunga,PORT NOARLUNGA,3 Bedrooms,3
2019-06,Noarlunga,PORT NOARLUNGA,4+ Bedrooms,1
2019-06,Noarlunga,REYNELLA,2 Bedrooms,2
2019-06,Noarlunga,REYNELLA,3 Bedrooms,13
2019-06,Noarlunga,REYNELLA,4+ Bedrooms,1
2019-06,Noarlunga,REYNELLA EAST,2 Bedrooms,2
2019-06,Noarlunga,REYNELLA EAST,3 Bedrooms,34
2019-06,Noarlunga,SEAFORD,2 Bedrooms,19
2019-06,Noarlunga,SEAFORD,3 Bedrooms,30
2019-06,Noarlunga,SEAFORD,4+ Bedrooms,1
2019-06,Noarlunga,SEAFORD MEADOWS,2 Bedrooms,5
2019-06,Noarlunga,SEAFORD MEADOWS,3 Bedrooms,12
2019-06,Noarlunga,SEAFORD MEADOWS,4+ Bedrooms,7
2019-06,Noarlunga,SEAFORD RISE,1 Bedroom,4
2019-06,Noarlunga,SEAFORD RISE,2 Bedrooms,119
2019-06,Noarlunga,SEAFORD RISE,3 Bedrooms,65
2019-06,Noarlunga,SEAFORD RISE,4+ Bedrooms,5
2019-06,Noarlunga,WILLUNGA,1 Bedroom,4
2019-06,Noarlunga,WOODCROFT,2 Bedrooms,29
2019-06,Noarlunga,WOODCROFT,3 Bedrooms,31
2019-06,Noarlunga,WOODCROFT,4+ Bedrooms,2
2019-06,Berri,BARMERA,1 Bedroom,23
2019-06,Berri,BARMERA,2 Bedrooms,34
2019-06,Berri,BARMERA,3 Bedrooms,42
2019-06,Berri,BARMERA,4+ Bedrooms,5
2019-06,Berri,BERRI,1 Bedroom,7
2019-06,Berri,BERRI,2 Bedrooms,53
2019-06,Berri,BERRI,3 Bedrooms,111
2019-06,Berri,BERRI,4+ Bedrooms,6
2019-06,Berri,GLOSSOP,3 Bedrooms,1
2019-06,Berri,GLOSSOP,4+ Bedrooms,1
2019-06,Berri,LOXTON,1 Bedroom,12
2019-06,Berri,LOXTON,2 Bedrooms,29
2019-06,Berri,LOXTON,3 Bedrooms,37
2019-06,Berri,LOXTON,4+ Bedrooms,4
2019-06,Berri,MORGAN,1 Bedroom,6
2019-06,Berri,MORGAN,2 Bedrooms,3
2019-06,Berri,MORGAN,3 Bedrooms,1
2019-06,Berri,PARINGA,1 Bedroom,7
2019-06,Berri,RENMARK,1 Bedroom,16
2019-06,Berri,RENMARK,2 Bedrooms,35
2019-06,Berri,RENMARK,3 Bedrooms,112
2019-06,Berri,RENMARK,4+ Bedrooms,4
2019-06,Berri,WAIKERIE,1 Bedroom,13
2019-06,Berri,WAIKERIE,2 Bedrooms,15
2019-06,Berri,WAIKERIE,3 Bedrooms,36
2019-06,Mount Barker,BALHANNAH,3 Bedrooms,2
2019-06,Mount Barker,BRUKUNGA,3 Bedrooms,6
2019-06,Mount Barker,ECHUNGA,1 Bedroom,4
2019-06,Mount Barker,GOOLWA,1 Bedroom,18
2019-06,Mount Barker,GOOLWA,2 Bedrooms,5
2019-06,Mount Barker,HAHNDORF,4+ Bedrooms,1
2019-06,Mount Barker,KINGSCOTE,1 Bedroom,6
2019-06,Mount Barker,KINGSCOTE,2 Bedrooms,11
2019-06,Mount Barker,KINGSCOTE,3 Bedrooms,24
2019-06,Mount Barker,LITTLEHAMPTON,3 Bedrooms,7
2019-06,Mount Barker,LITTLEHAMPTON,4+ Bedrooms,1
2019-06,Mount Barker,LOBETHAL,3 Bedrooms,13
2019-06,Mount Barker,MANNUM,2 Bedrooms,1
2019-06,Mount Barker,MANNUM,3 Bedrooms,46
2019-06,Mount Barker,MANNUM,4+ Bedrooms,2
2019-06,Mount Barker,MCCRACKEN,3 Bedrooms,1
2019-06,Mount Barker,MEADOWS,1 Bedroom,5
2019-06,Mount Barker,MEADOWS,2 Bedrooms,1
2019-06,Mount Barker,MILANG,1 Bedroom,3
2019-06,Mount Barker,MILANG,2 Bedrooms,1
2019-06,Mount Barker,MOUNT BARKER,1 Bedroom,8
2019-06,Mount Barker,MOUNT BARKER,2 Bedrooms,118
2019-06,Mount Barker,MOUNT BARKER,3 Bedrooms,187
2019-06,Mount Barker,MOUNT BARKER,4+ Bedrooms,12
2019-06,Mount Barker,NAIRNE,3 Bedrooms,19
2019-06,Mount Barker,STRATHALBYN,1 Bedroom,5
2019-06,Mount Barker,STRATHALBYN,2 Bedrooms,2
2019-06,Mount Barker,WOODSIDE,3 Bedrooms,8
2019-06,Mount Barker,YANKALILLA,1 Bedroom,5
2019-06,Mount Barker,YANKALILLA,2 Bedrooms,1
2019-06,Mount Gambier,KEITH,1 Bedroom,4
2019-06,Mount Gambier,LUCINDALE,1 Bedroom,3
2019-06,Mount Gambier,MOUNT GAMBIER,1 Bedroom,90
2019-06,Mount Gambier,MOUNT GAMBIER,2 Bedrooms,186
2019-06,Mount Gambier,MOUNT GAMBIER,3 Bedrooms,749
2019-06,Mount Gambier,MOUNT GAMBIER,4+ Bedrooms,25
2019-06,Murray Bridge,LAMEROO,3 Bedrooms,1
2019-06,Murray Bridge,MENINGIE,1 Bedroom,2
2019-06,Murray Bridge,MONARTO,2 Bedrooms,1
2019-06,Murray Bridge,MURRAY BRIDGE,1 Bedroom,29
2019-06,Murray Bridge,MURRAY BRIDGE,2 Bedrooms,170
2019-06,Murray Bridge,MURRAY BRIDGE,3 Bedrooms,412
2019-06,Murray Bridge,MURRAY BRIDGE,4+ Bedrooms,29
2019-06,Murray Bridge,TAILEM BEND,2 Bedrooms,3
2019-06,Murray Bridge,TAILEM BEND,3 Bedrooms,6
2019-06,Croydon Park,ALLENBY GARDENS,2 Bedrooms,11
2019-06,Croydon Park,ALLENBY GARDENS,3 Bedrooms,1
2019-06,Croydon Park,ANGLE PARK,1 Bedroom,8
2019-06,Croydon Park,ANGLE PARK,2 Bedrooms,148
2019-06,Croydon Park,ANGLE PARK,3 Bedrooms,34
2019-06,Croydon Park,ANGLE PARK,4+ Bedrooms,12
2019-06,Croydon Park,ASHFORD,2 Bedrooms,16
2019-06,Croydon Park,ASHFORD,3 Bedrooms,1
2019-06,Croydon Park,ATHOL PARK,1 Bedroom,8
2019-06,Croydon Park,ATHOL PARK,2 Bedrooms,1
2019-06,Croydon Park,ATHOL PARK,3 Bedrooms,3
2019-06,Croydon Park,ATHOL PARK,4+ Bedrooms,2
2019-06,Croydon Park,BOWDEN,1 Bedroom,36
2019-06,Croydon Park,BOWDEN,2 Bedrooms,37
2019-06,Croydon Park,BOWDEN,3 Bedrooms,19
2019-06,Croydon Park,BROMPTON,1 Bedroom,3
2019-06,Croydon Park,BROMPTON,2 Bedrooms,93
2019-06,Croydon Park,BROMPTON,3 Bedrooms,61
2019-06,Croydon Park,BROMPTON,4+ Bedrooms,6
2019-06,Croydon Park,BROOKLYN PARK,1 Bedroom,23
2019-06,Croydon Park,BROOKLYN PARK,2 Bedrooms,135
2019-06,Croydon Park,BROOKLYN PARK,3 Bedrooms,8
2019-06,Croydon Park,CAMDEN PARK,1 Bedroom,44
2019-06,Croydon Park,CAMDEN PARK,2 Bedrooms,50
2019-06,Croydon Park,CAMDEN PARK,3 Bedrooms,1
2019-06,Croydon Park,COWANDILLA,1 Bedroom,20
2019-06,Croydon Park,COWANDILLA,2 Bedrooms,33
2019-06,Croydon Park,COWANDILLA,3 Bedrooms,10
2019-06,Croydon Park,CROYDON,1 Bedroom,3
2019-06,Croydon Park,CROYDON,2 Bedrooms,9
2019-06,Croydon Park,CROYDON,3 Bedrooms,10
2019-06,Croydon Park,CROYDON,4+ Bedrooms,4
2019-06,Croydon Park,CROYDON PARK,1 Bedroom,33
2019-06,Croydon Park,CROYDON PARK,2 Bedrooms,45
2019-06,Croydon Park,CROYDON PARK,3 Bedrooms,28
2019-06,Croydon Park,CROYDON PARK,4+ Bedrooms,2
2019-06,Croydon Park,DEVON PARK,1 Bedroom,11
2019-06,Croydon Park,DEVON PARK,2 Bedrooms,75
2019-06,Croydon Park,DEVON PARK,3 Bedrooms,22
2019-06,Croydon Park,DEVON PARK,4+ Bedrooms,2
2019-06,Croydon Park,DUDLEY PARK,2 Bedrooms,62
2019-06,Croydon Park,DUDLEY PARK,3 Bedrooms,42
2019-06,Croydon Park,FERRYDEN PARK,1 Bedroom,79
2019-06,Croydon Park,FERRYDEN PARK,2 Bedrooms,152
2019-06,Croydon Park,FERRYDEN PARK,3 Bedrooms,168
2019-06,Croydon Park,FERRYDEN PARK,4+ Bedrooms,27
2019-06,Croydon Park,FLINDERS PARK,1 Bedroom,1
2019-06,Croydon Park,FLINDERS PARK,2 Bedrooms,3
2019-06,Croydon Park,FLINDERS PARK,3 Bedrooms,5
2019-06,Croydon Park,FULHAM,2 Bedrooms,41
2019-06,Croydon Park,FULHAM,3 Bedrooms,4
2019-06,Croydon Park,HENLEY BEACH,1 Bedroom,54
2019-06,Croydon Park,HENLEY BEACH,2 Bedrooms,69
2019-06,Croydon Park,HENLEY BEACH,3 Bedrooms,4
2019-06,Croydon Park,HENLEY BEACH SOUTH,1 Bedroom,18
2019-06,Croydon Park,HENLEY BEACH SOUTH,2 Bedrooms,90
2019-06,Croydon Park,HILTON,1 Bedroom,3
2019-06,Croydon Park,HILTON,2 Bedrooms,14
2019-06,Croydon Park,HILTON,3 Bedrooms,6
2019-06,Croydon Park,HILTON,4+ Bedrooms,1
2019-06,Croydon Park,HINDMARSH,2 Bedrooms,3
2019-06,Croydon Park,HINDMARSH,3 Bedrooms,1
2019-06,Croydon Park,HINDMARSH,4+ Bedrooms,1
2019-06,Croydon Park,KESWICK,2 Bedrooms,4
2019-06,Croydon Park,KESWICK,3 Bedrooms,7
2019-06,Croydon Park,KIDMAN PARK,2 Bedrooms,7
2019-06,Croydon Park,KIDMAN PARK,3 Bedrooms,16
2019-06,Croydon Park,KIDMAN PARK,4+ Bedrooms,2
2019-06,Croydon Park,KILKENNY,2 Bedrooms,17
2019-06,Croydon Park,KILKENNY,3 Bedrooms,7
2019-06,Croydon Park,KILKENNY,4+ Bedrooms,2
2019-06,Croydon Park,KURRALTA PARK,2 Bedrooms,12
2019-06,Croydon Park,KURRALTA PARK,3 Bedrooms,6
2019-06,Croydon Park,LOCKLEYS,1 Bedroom,21
2019-06,Croydon Park,LOCKLEYS,2 Bedrooms,4
2019-06,Croydon Park,MANSFIELD PARK,2 Bedrooms,20
2019-06,Croydon Park,MANSFIELD PARK,3 Bedrooms,12
2019-06,Croydon Park,MANSFIELD PARK,4+ Bedrooms,1
2019-06,Croydon Park,MARLESTON,1 Bedroom,11
2019-06,Croydon Park,MARLESTON,2 Bedrooms,21
2019-06,Croydon Park,MARLESTON,3 Bedrooms,8
2019-06,Croydon Park,MILE END,1 Bedroom,22
2019-06,Croydon Park,MILE END,2 Bedrooms,114
2019-06,Croydon Park,MILE END,3 Bedrooms,69
2019-06,Croydon Park,MILE END,4+ Bedrooms,9
2019-06,Croydon Park,NORTH PLYMPTON,1 Bedroom,28
2019-06,Croydon Park,NORTH PLYMPTON,2 Bedrooms,29
2019-06,Croydon Park,NORTH PLYMPTON,3 Bedrooms,11
2019-06,Croydon Park,NORTH PLYMPTON,4+ Bedrooms,3
2019-06,Croydon Park,NOVAR GARDENS,1 Bedroom,80
2019-06,Croydon Park,NOVAR GARDENS,2 Bedrooms,67
2019-06,Croydon Park,NOVAR GARDENS,3 Bedrooms,96
2019-06,Croydon Park,NOVAR GARDENS,4+ Bedrooms,1
2019-06,Croydon Park,OVINGHAM,1 Bedroom,8
2019-06,Croydon Park,OVINGHAM,2 Bedrooms,31
2019-06,Croydon Park,OVINGHAM,3 Bedrooms,20
2019-06,Croydon Park,PLYMPTON,1 Bedroom,11
2019-06,Croydon Park,PLYMPTON,2 Bedrooms,18
2019-06,Croydon Park,PLYMPTON,3 Bedrooms,4
2019-06,Croydon Park,RENOWN PARK,1 Bedroom,44
2019-06,Croydon Park,RENOWN PARK,2 Bedrooms,115
2019-06,Croydon Park,RENOWN PARK,3 Bedrooms,45
2019-06,Croydon Park,RENOWN PARK,4+ Bedrooms,4
2019-06,Croydon Park,RICHMOND,2 Bedrooms,9
2019-06,Croydon Park,RICHMOND,3 Bedrooms,8
2019-06,Croydon Park,RIDLEYTON,1 Bedroom,17
2019-06,Croydon Park,RIDLEYTON,2 Bedrooms,63
2019-06,Croydon Park,RIDLEYTON,3 Bedrooms,24
2019-06,Croydon Park,THEBARTON,1 Bedroom,15
2019-06,Croydon Park,THEBARTON,2 Bedrooms,37
2019-06,Croydon Park,THEBARTON,3 Bedrooms,13
2019-06,Croydon Park,TORRENSVILLE,1 Bedroom,5
2019-06,Croydon Park,TORRENSVILLE,2 Bedrooms,44
2019-06,Croydon Park,TORRENSVILLE,3 Bedrooms,25
2019-06,Croydon Park,TORRENSVILLE,4+ Bedrooms,2
2019-06,Croydon Park,UNDERDALE,1 Bedroom,8
2019-06,Croydon Park,UNDERDALE,2 Bedrooms,16
2019-06,Croydon Park,UNDERDALE,3 Bedrooms,14
2019-06,Croydon Park,WELLAND,2 Bedrooms,7
2019-06,Croydon Park,WELLAND,3 Bedrooms,25
2019-06,Croydon Park,WEST BEACH,2 Bedrooms,19
2019-06,Croydon Park,WEST CROYDON,1 Bedroom,9
2019-06,Croydon Park,WEST CROYDON,2 Bedrooms,30
2019-06,Croydon Park,WEST CROYDON,3 Bedrooms,15
2019-06,Croydon Park,WEST CROYDON,4+ Bedrooms,1
2019-06,Croydon Park,WEST HINDMARSH,2 Bedrooms,12
2019-06,Croydon Park,WEST HINDMARSH,3 Bedrooms,4
2019-06,Croydon Park,WEST RICHMOND,2 Bedrooms,17
2019-06,Croydon Park,WEST RICHMOND,3 Bedrooms,8
2019-06,Croydon Park,WEST RICHMOND,4+ Bedrooms,1
2019-06,Croydon Park,WOODVILLE GARDENS,1 Bedroom,14
2019-06,Croydon Park,WOODVILLE GARDENS,2 Bedrooms,45
2019-06,Croydon Park,WOODVILLE GARDENS,3 Bedrooms,30
2019-06,Croydon Park,WOODVILLE GARDENS,4+ Bedrooms,9
2019-06,Croydon Park,WOODVILLE NORTH,1 Bedroom,2
2019-06,Croydon Park,WOODVILLE NORTH,2 Bedrooms,14
2019-06,Croydon Park,WOODVILLE NORTH,3 Bedrooms,1
2019-06,Croydon Park,WOODVILLE NORTH,4+ Bedrooms,1
2019-06,Port Adelaide,ALBERT PARK,1 Bedroom,5
2019-06,Port Adelaide,ALBERT PARK,2 Bedrooms,30
2019-06,Port Adelaide,ALBERT PARK,3 Bedrooms,15
2019-06,Port Adelaide,ALBERTON,1 Bedroom,7
2019-06,Port Adelaide,ALBERTON,2 Bedrooms,20
2019-06,Port Adelaide,ALBERTON,3 Bedrooms,15
2019-06,Port Adelaide,ALBERTON,4+ Bedrooms,3
2019-06,Port Adelaide,BEVERLEY,2 Bedrooms,11
2019-06,Port Adelaide,BEVERLEY,3 Bedrooms,3
2019-06,Port Adelaide,BIRKENHEAD,1 Bedroom,2
2019-06,Port Adelaide,BIRKENHEAD,2 Bedrooms,40
2019-06,Port Adelaide,BIRKENHEAD,3 Bedrooms,24
2019-06,Port Adelaide,BIRKENHEAD,4+ Bedrooms,1
2019-06,Port Adelaide,CHELTENHAM,1 Bedroom,2
2019-06,Port Adelaide,CHELTENHAM,2 Bedrooms,7
2019-06,Port Adelaide,CHELTENHAM,3 Bedrooms,2
2019-06,Port Adelaide,ETHELTON,1 Bedroom,13
2019-06,Port Adelaide,ETHELTON,2 Bedrooms,17
2019-06,Port Adelaide,ETHELTON,3 Bedrooms,37
2019-06,Port Adelaide,EXETER,1 Bedroom,29
2019-06,Port Adelaide,EXETER,2 Bedrooms,21
2019-06,Port Adelaide,EXETER,3 Bedrooms,3
2019-06,Port Adelaide,EXETER,4+ Bedrooms,1
2019-06,Port Adelaide,FINDON,1 Bedroom,9
2019-06,Port Adelaide,FINDON,2 Bedrooms,137
2019-06,Port Adelaide,FINDON,3 Bedrooms,21
2019-06,Port Adelaide,FINDON,4+ Bedrooms,9
2019-06,Port Adelaide,GLANVILLE,2 Bedrooms,23
2019-06,Port Adelaide,GLANVILLE,3 Bedrooms,1
2019-06,Port Adelaide,GRANGE,1 Bedroom,17
2019-06,Port Adelaide,GRANGE,2 Bedrooms,24
2019-06,Port Adelaide,GRANGE,3 Bedrooms,41
2019-06,Port Adelaide,GRANGE,4+ Bedrooms,1
2019-06,Port Adelaide,HENDON,2 Bedrooms,11
2019-06,Port Adelaide,HENDON,3 Bedrooms,7
2019-06,Port Adelaide,LARGS BAY,1 Bedroom,12
2019-06,Port Adelaide,LARGS BAY,2 Bedrooms,33
2019-06,Port Adelaide,LARGS BAY,3 Bedrooms,21
2019-06,Port Adelaide,LARGS BAY,4+ Bedrooms,3
2019-06,Port Adelaide,LARGS NORTH,1 Bedroom,9
2019-06,Port Adelaide,LARGS NORTH,2 Bedrooms,45
2019-06,Port Adelaide,LARGS NORTH,3 Bedrooms,19
2019-06,Port Adelaide,LARGS NORTH,4+ Bedrooms,2
2019-06,Port Adelaide,MILE END SOUTH,2 Bedrooms,2
2019-06,Port Adelaide,NORTH HAVEN,1 Bedroom,32
2019-06,Port Adelaide,NORTH HAVEN,2 Bedrooms,19
2019-06,Port Adelaide,NORTH HAVEN,3 Bedrooms,9
2019-06,Port Adelaide,OSBORNE,1 Bedroom,15
2019-06,Port Adelaide,OSBORNE,2 Bedrooms,49
2019-06,Port Adelaide,OSBORNE,3 Bedrooms,60
2019-06,Port Adelaide,OSBORNE,4+ Bedrooms,6
2019-06,Port Adelaide,OTTOWAY,1 Bedroom,23
2019-06,Port Adelaide,OTTOWAY,2 Bedrooms,47
2019-06,Port Adelaide,OTTOWAY,3 Bedrooms,37
2019-06,Port Adelaide,OTTOWAY,4+ Bedrooms,3
2019-06,Port Adelaide,PENNINGTON,1 Bedroom,26
2019-06,Port Adelaide,PENNINGTON,2 Bedrooms,43
2019-06,Port Adelaide,PENNINGTON,3 Bedrooms,12
2019-06,Port Adelaide,PETERHEAD,2 Bedrooms,26
2019-06,Port Adelaide,PETERHEAD,3 Bedrooms,19
2019-06,Port Adelaide,PORT ADELAIDE,1 Bedroom,78
2019-06,Port Adelaide,PORT ADELAIDE,2 Bedrooms,83
2019-06,Port Adelaide,PORT ADELAIDE,3 Bedrooms,43
2019-06,Port Adelaide,QUEENSTOWN,1 Bedroom,19
2019-06,Port Adelaide,QUEENSTOWN,2 Bedrooms,39
2019-06,Port Adelaide,QUEENSTOWN,3 Bedrooms,53
2019-06,Port Adelaide,ROSEWATER,1 Bedroom,20
2019-06,Port Adelaide,ROSEWATER,2 Bedrooms,72
2019-06,Port Adelaide,ROSEWATER,3 Bedrooms,32
2019-06,Port Adelaide,ROSEWATER,4+ Bedrooms,4
2019-06,Port Adelaide,ROYAL PARK,1 Bedroom,2
2019-06,Port Adelaide,ROYAL PARK,2 Bedrooms,70
2019-06,Port Adelaide,ROYAL PARK,3 Bedrooms,13
2019-06,Port Adelaide,ROYAL PARK,4+ Bedrooms,5
2019-06,Port Adelaide,SEATON,1 Bedroom,36
2019-06,Port Adelaide,SEATON,2 Bedrooms,164
2019-06,Port Adelaide,SEATON,3 Bedrooms,285
2019-06,Port Adelaide,SEATON,4+ Bedrooms,7
2019-06,Port Adelaide,SEMAPHORE,1 Bedroom,8
2019-06,Port Adelaide,SEMAPHORE,2 Bedrooms,14
2019-06,Port Adelaide,SEMAPHORE,3 Bedrooms,14
2019-06,Port Adelaide,SEMAPHORE,4+ Bedrooms,3
2019-06,Port Adelaide,SEMAPHORE PARK,1 Bedroom,29
2019-06,Port Adelaide,SEMAPHORE PARK,2 Bedrooms,160
2019-06,Port Adelaide,SEMAPHORE PARK,3 Bedrooms,272
2019-06,Port Adelaide,SEMAPHORE PARK,4+ Bedrooms,9
2019-06,Port Adelaide,SEMAPHORE SOUTH,2 Bedrooms,2
2019-06,Port Adelaide,SEMAPHORE SOUTH,3 Bedrooms,1
2019-06,Port Adelaide,ST CLAIR,2 Bedrooms,2
2019-06,Port Adelaide,TAPEROO,1 Bedroom,38
2019-06,Port Adelaide,TAPEROO,2 Bedrooms,148
2019-06,Port Adelaide,TAPEROO,3 Bedrooms,175
2019-06,Port Adelaide,TAPEROO,4+ Bedrooms,21
2019-06,Port Adelaide,WEST LAKES,2 Bedrooms,1
2019-06,Port Adelaide,WEST LAKES,3 Bedrooms,49
2019-06,Port Adelaide,WEST LAKES,4+ Bedrooms,2
2019-06,Port Adelaide,WEST LAKES SHORE,2 Bedrooms,4
2019-06,Port Adelaide,WEST LAKES SHORE,3 Bedrooms,7
2019-06,Port Adelaide,WINGFIELD,3 Bedrooms,5
2019-06,Port Adelaide,WOODVILLE,1 Bedroom,3
2019-06,Port Adelaide,WOODVILLE,2 Bedrooms,10
2019-06,Port Adelaide,WOODVILLE,3 Bedrooms,1
2019-06,Port Adelaide,WOODVILLE PARK,1 Bedroom,2
2019-06,Port Adelaide,WOODVILLE PARK,2 Bedrooms,7
2019-06,Port Adelaide,WOODVILLE SOUTH,1 Bedroom,1
2019-06,Port Adelaide,WOODVILLE SOUTH,2 Bedrooms,11
2019-06,Port Adelaide,WOODVILLE SOUTH,3 Bedrooms,1
2019-06,Port Adelaide,WOODVILLE SOUTH,4+ Bedrooms,2
2019-06,Port Adelaide,WOODVILLE WEST,1 Bedroom,3
2019-06,Port Adelaide,WOODVILLE WEST,2 Bedrooms,40
2019-06,Port Adelaide,WOODVILLE WEST,3 Bedrooms,29
2019-06,Port Adelaide,WOODVILLE WEST,4+ Bedrooms,3
2019-06,Ceduna,CEDUNA,2 Bedrooms,6
2019-06,Ceduna,CEDUNA,3 Bedrooms,73
2019-06,Ceduna,CEDUNA,4+ Bedrooms,13
2019-06,Ceduna,STREAKY BAY,1 Bedroom,3
2019-06,Ceduna,STREAKY BAY,2 Bedrooms,8
2019-06,Ceduna,STREAKY BAY,3 Bedrooms,6
2019-06,Ceduna,THEVENARD,2 Bedrooms,5
2019-06,Ceduna,THEVENARD,3 Bedrooms,15
2019-06,Ceduna,THEVENARD,4+ Bedrooms,4
2019-06,Port Lincoln,CLEVE,3 Bedrooms,6
2019-06,Port Lincoln,CUMMINS,3 Bedrooms,2
2019-06,Port Lincoln,ELLISTON,1 Bedroom,4
2019-06,Port Lincoln,LOCK,1 Bedroom,2
2019-06,Port Lincoln,PORT LINCOLN,1 Bedroom,64
2019-06,Port Lincoln,PORT LINCOLN,2 Bedrooms,201
2019-06,Port Lincoln,PORT LINCOLN,3 Bedrooms,348
2019-06,Port Lincoln,PORT LINCOLN,4+ Bedrooms,18
2019-06,Port Lincoln,TUMBY BAY,3 Bedrooms,6
2019-06,Port Lincoln,WUDINNA,2 Bedrooms,11
2019-06,Port Lincoln,WUDINNA,3 Bedrooms,2
2019-06,Whyalla,COWELL,3 Bedrooms,2
2019-06,Whyalla,WHYALLA,1 Bedroom,17
2019-06,Whyalla,WHYALLA,2 Bedrooms,112
2019-06,Whyalla,WHYALLA,3 Bedrooms,17
2019-06,Whyalla,WHYALLA JENKINS,2 Bedrooms,4
2019-06,Whyalla,WHYALLA JENKINS,3 Bedrooms,47
2019-06,Whyalla,WHYALLA NORRIE,1 Bedroom,27
2019-06,Whyalla,WHYALLA NORRIE,2 Bedrooms,24
2019-06,Whyalla,WHYALLA NORRIE,3 Bedrooms,558
2019-06,Whyalla,WHYALLA NORRIE,4+ Bedrooms,23
2019-06,Whyalla,WHYALLA PLAYFORD,1 Bedroom,5
2019-06,Whyalla,WHYALLA PLAYFORD,2 Bedrooms,51
2019-06,Whyalla,WHYALLA PLAYFORD,3 Bedrooms,11
2019-06,Whyalla,WHYALLA PLAYFORD,4+ Bedrooms,1
2019-06,Whyalla,WHYALLA STUART,1 Bedroom,17
2019-06,Whyalla,WHYALLA STUART,2 Bedrooms,122
2019-06,Whyalla,WHYALLA STUART,3 Bedrooms,1011
2019-06,Whyalla,WHYALLA STUART,4+ Bedrooms,52
