LGA Name,Tenure type,Very low income <$603 per wk,Low income $603-$964 per wk,Moderate income $965-$1446 per wk,Total
Yorke Peninsula (DC),Rented: Public,70,21,6,134
Yorke Peninsula (DC),Rented: Private and not stated,203,135,94,584
Yorke Peninsula (DC),Rented: Other landlord,15,17,11,65
Yorke Peninsula (DC),Rented: TOTAL,288,173,111,783
Yorke Peninsula (DC),Other tenure types,910,665,366,2805
Yorke Peninsula (DC),Total households,1364,1015,647,4647
South Australia,Being purchased (incl rent/buy),16630,21240,32472,225670
South Australia,Rented: Public,19642,5652,2626,33492
South Australia,Rented: Private and not stated,29448,23563,24287,129351
South Australia,Rented: Other landlord,5703,2166,1610,13636
South Australia,Rented: TOTAL,54793,31381,28523,176479
South Australia,Other tenure types,64784,48872,33673,236646
South Australia,Total households,136200,101489,94663,638792
