LGA Name,Tenure type,Very low income <$603 per wk,Low income $603-$964 per wk,Moderate income $965-$1446 per wk,Total
Coober Pedy (DC),Rented: TOTAL,44,35,33,225
Coober Pedy (DC),Other tenure types,153,53,36,339
Coober Pedy (DC),Total households,227,107,91,694
Copper Coast (DC),Being purchased (incl rent/buy),202,240,279,1576
Copper Coast (DC),Rented: Public,128,41,18,235
Copper Coast (DC),Rented: Private and not stated,377,271,164,1158
Copper Coast (DC),Rented: Other landlord,37,20,8,113
Copper Coast (DC),Rented: TOTAL,542,332,190,1506
Copper Coast (DC),Other tenure types,833,661,344,2655
Copper Coast (DC),Total households,1576,1234,811,5735
Elliston (DC),Being purchased (incl rent/buy),16,15,19,99
Elliston (DC),Rented: Public,4,0,0,10
Elliston (DC),Rented: Private and not stated,16,8,3,34
Elliston (DC),Rented: Other landlord,0,3,0,6
Elliston (DC),Rented: TOTAL,20,11,3,50
Elliston (DC),Other tenure types,77,67,42,269
Elliston (DC),Total households,108,90,65,416
Flinders Ranges (DC),Being purchased (incl rent/buy),28,24,29,206
Flinders Ranges (DC),Rented: Public,19,0,4,30
Flinders Ranges (DC),Rented: Private and not stated,34,18,11,93
Flinders Ranges (DC),Rented: Other landlord,8,5,4,33
Flinders Ranges (DC),Rented: TOTAL,61,23,19,156
Flinders Ranges (DC),Other tenure types,88,76,39,329
Flinders Ranges (DC),Total households,173,124,87,685
Franklin Harbour (DC),Being purchased (incl rent/buy),7,15,19,129
Franklin Harbour (DC),Rented: Public,0,0,3,9
Franklin Harbour (DC),Rented: Private and not stated,17,16,15,80
Franklin Harbour (DC),Rented: Other landlord,10,0,3,20
Franklin Harbour (DC),Rented: TOTAL,27,16,21,109
Franklin Harbour (DC),Other tenure types,77,53,27,245
Franklin Harbour (DC),Total households,115,91,64,483
Gawler (T),Being purchased (incl rent/buy),283,332,499,3381
Gawler (T),Rented: Public,248,80,28,414
Gawler (T),Rented: Private and not stated,490,425,354,1970
Gawler (T),Rented: Other landlord,92,30,26,213
Gawler (T),Rented: TOTAL,830,535,408,2597
Gawler (T),Other tenure types,970,695,429,3049
Gawler (T),Total households,2085,1562,1338,9038
