SUBURB,Suburb,Latitude,Longitude,Distance_to_Beach,Price,Land_Area
Manning,Manning,-32.01347651742857,115.86957592642857,1780.0,846769.6428571428,626.7071428571429
Marangaroo,Marangaroo,-31.826816251391307,115.84144593565217,8756.0,415613.04347826086,841.3130434782609
Mardella,Mardella,-32.310094807666665,115.9764891,21802.0,542738.8333333334,33192.46666666667
Mariginiup,Mariginiup,-31.705711827403846,115.8420941548077,6282.0,716686.25,18534.80769230769
Marmion,Marmion,-31.841294651544118,115.75696236470588,652.0,1018099.2647058824,819.0367647058823
Martin,Martin,-32.07162555857143,116.01896651142857,4124.0,593307.1428571428,7405.328571428571
Maylands,Maylands,-31.93591924625,115.901631096875,1997.0,740132.5,641.859375
Medina,Medina,-32.23416310299145,115.8055053905983,4297.0,270912.4358974359,766.0940170940171
Melville,Melville,-32.0404568018,115.80158590900001,2775.0,802000.0,650.81
Menora,Menora,-31.91931798710692,115.86088888553459,4100.0,1182495.283018868,811.0817610062893
Merriwa,Merriwa,-31.66363729497462,115.71210158426396,2088.0,333588.7817258883,580.9035532994924
Middle Swan,Middle Swan,-31.87049232063492,116.01982192698412,3254.0,408144.45238095237,2184.5476190476193
Midland,Midland,-31.883251362321428,116.01211298035714,2005.0,423089.28571428574,1093.232142857143
Midvale,Midvale,-31.889116906923075,116.02485992197802,3176.0,356059.34065934067,884.3956043956044
Millendon,Millendon,-31.80842598057143,116.04029307142858,9863.0,684357.1428571428,28112.628571428573
Mindarie,Mindarie,-31.686348568970587,115.70787922745099,1089.0,723723.5294117647,646.8186274509804
Mirrabooka,Mirrabooka,-31.85708015571429,115.86548749473684,9784.0,402062.5714285714,672.8872180451128
Morley,Morley,-31.886629262295084,115.90601915081967,5132.0,469393.4426229508,655.983606557377
Mosman Park,Mosman Park,-32.014593783125,115.76384469791667,937.0,1382703.125,589.5833333333334
Mount Claremont,Mount Claremont,-31.96520092833333,115.78278860454544,2631.0,1279121.3106060605,842.9242424242424
Mount Hawthorn,Mount Hawthorn,-31.920096834455446,115.8358011782178,4583.0,997787.1782178218,491.9504950495049
Mount Helena,Mount Helena,-31.869701047278912,116.20978444421768,4554.0,551346.9387755102,8188.285714285715
Mount Lawley,Mount Lawley,-31.931162185694443,115.87534567777779,2368.0,1053083.3333333333,679.5833333333334
Mount Nasura,Mount Nasura,-32.13787466352459,116.02440722131148,4093.0,485498.7704918033,1392.8032786885246
Mount Pleasant,Mount Pleasant,-32.02864327216981,115.84842253773586,399.0,1211815.641509434,555.2264150943396
Mount Richon,Mount Richon,-32.15946765715447,116.02099497235771,5808.0,528277.8048780488,1824.7073170731708
Mullaloo,Mullaloo,-31.778516157196968,115.74458042954546,1118.0,741965.9090909091,747.7651515151515
Mundaring,Mundaring,-31.900630603361346,116.16738866890756,9750.0,650852.9411764706,5076.310924369748
Mundijong,Mundijong,-32.290451825666665,115.98429884916666,19669.0,391424.0833333333,4460.716666666666
Munster,Munster,-32.14977882,115.8106937,4834.0,1030000.0,20000.0
Murdoch,Murdoch,-32.06151202178218,115.8333911960396,3312.0,716685.0297029703,715.3267326732673
Myaree,Myaree,-32.03952830903226,115.81463029892474,3385.0,680854.8387096775,1308.0645161290322
Naval Base,Naval Base,-32.20141,115.78739,1362.0,1408000.0,2614.0
Nedlands,Nedlands,-31.97974747168317,115.80426547425742,2458.0,1639098.5148514851,816.4356435643564
Neerabup,Neerabup,-31.682505364285714,115.75450305714286,3489.0,702142.8571428572,32014.0
Nollamara,Nollamara,-31.880211449714288,115.84302286857142,8423.0,346071.4285714286,468.65714285714284
Noranda,Noranda,-31.87517180377551,115.89792402857142,6584.0,579954.081632653,772.6938775510204
North Beach,North Beach,-31.861981929647058,115.75904709058824,635.0,1018455.8823529412,618.8823529411765
North Coogee,North Coogee,-32.0958092,115.7619791153846,285.0,1136482.0512820513,845.9230769230769
North Fremantle,North Fremantle,-32.0316831452381,115.75569301746032,750.0,1213309.5238095238,598.6984126984127
North Lake,North Lake,-32.08131527390244,115.82783028048782,5325.0,619701.2195121951,712.4024390243902
North Perth,North Perth,-31.927230866984125,115.8534437047619,3527.0,850071.4285714285,418.42857142857144
Northbridge,Northbridge,-31.94531360363636,115.85687883636363,1585.0,721636.3636363636,647.5454545454545
O'Connor,O'Connor,-32.06201949,115.79271471428571,2069.0,491428.5714285714,599.1428571428571
Oakford,Oakford,-32.206468863424654,115.94298516027398,11334.0,848732.8767123288,18585.821917808218
Ocean Reef,Ocean Reef,-31.758482766122448,115.73718043367347,906.0,796583.1632653062,769.704081632653
Oldbury,Oldbury,-32.2607508015,115.90365221500001,13722.0,802864.65,99941.1
Orange Grove,Orange Grove,-32.03514921756757,116.01859464594595,7983.0,687878.3783783783,13184.81081081081
Orelia,Orelia,-32.23222756706767,115.82356847067669,5808.0,308589.962406015,687.6766917293234
Osborne Park,Osborne Park,-31.90016762027027,115.8257963027027,6630.0,503216.2162162162,816.4864864864865
Padbury,Padbury,-31.804638583292682,115.7667606012195,3172.0,551196.3414634146,695.0731707317074
Palmyra,Palmyra,-32.04370425291667,115.78621661250001,1526.0,687312.5,673.0833333333334
Parkerville,Parkerville,-31.87382274805085,116.13879197711864,11077.0,629889.8305084746,8443.737288135593
Parkwood,Parkwood,-32.046543992254904,115.91415912058824,3615.0,472941.8725490196,824.6078431372549
Parmelia,Parmelia,-32.245766109,115.826382839,6284.0,275728.0,696.97
Pearsall,Pearsall,-31.782122452265625,115.81881104062501,8057.0,489171.875,531.40625
Peppermint Grove,Peppermint Grove,-32.000370185,115.76403082499999,1167.0,1771982.142857143,1406.4642857142858
Piara Waters,Piara Waters,-32.13055971402062,115.9189859298969,7165.0,520371.13402061857,493.4845360824742
Pickering Brook,Pickering Brook,-32.037300637142856,116.12539024285715,13959.0,887857.1428571428,17003.85714285714
Port Kennedy,Port Kennedy,-32.36028842876623,115.75610007272728,1508.0,364402.5974025974,646.2207792207793
Queens Park,Queens Park,-32.00346528337662,115.9459222025974,6445.0,470305.1948051948,531.2207792207793
Quinns Rocks,Quinns Rocks,-31.662962412028982,115.6979502557971,791.0,506809.4347826087,650.1376811594203
Redcliffe,Redcliffe,-31.944311842519085,115.94719004122138,2579.0,466780.1526717557,556.6259541984733
Ridgewood,Ridgewood,-31.66137322319728,115.72190149387755,3045.0,404963.2653061224,514.9863945578231
Riverton,Riverton,-32.03513447883721,115.89720105581395,1583.0,672628.7209302326,609.1860465116279
Rivervale,Rivervale,-31.96024300181818,115.91571116,3289.0,594565.4545454546,756.1454545454545
Rockingham,Rockingham,-32.28613437037037,115.7325961802469,1255.0,430706.18518518517,807.6913580246913
Roleystone,Roleystone,-32.11753218009174,116.07482919174312,7071.0,603173.3944954128,5783.275229357798
Rossmoyne,Rossmoyne,-32.038917710363634,115.8682675890909,826.0,1165680.290909091,785.4454545454546
Safety Bay,Safety Bay,-32.30410161094737,115.73350653473685,684.0,441300.0,759.2736842105263
Salter Point,Salter Point,-32.022536146875,115.867235953125,942.0,1185205.859375,652.7578125
Samson,Samson,-32.070164914107146,115.79768528125,2980.0,576252.2321428572,748.7678571428571
Sawyers Valley,Sawyers Valley,-31.898646942016807,116.2039288210084,6963.0,477205.46218487393,12447.361344537816
Scarborough,Scarborough,-31.895570289107145,115.76938738392857,1322.0,718145.3214285715,640.5178571428571
Secret Harbour,Secret Harbour,-32.40616037548572,115.76029136457144,1403.0,483800.0,640.0057142857142
Serpentine,Serpentine,-32.36706142222222,115.97897115185185,22275.0,680432.0987654321,19947.086419753086
Seville Grove,Seville Grove,-32.13551157019608,115.98951016372548,2486.0,336509.8039215686,658.2254901960785
Shelley,Shelley,-32.030128587,115.885909135,385.0,961674.5833333334,697.4
Shenton Park,Shenton Park,-31.960365368333335,115.81268365357143,3139.0,1286936.1666666667,438.10714285714283
Shoalwater,Shoalwater,-32.29492117442105,115.71247983789473,890.0,483526.94736842107,749.0631578947368
Sinagra,Sinagra,-31.739632436709677,115.80515872258064,7629.0,465049.29032258067,1189.625806451613
Singleton,Singleton,-32.44365582565518,115.75614539931036,667.0,457285.2275862069,761.3448275862069
Sorrento,Sorrento,-31.827318230208334,115.754850453125,916.0,1025192.7083333334,1382.4895833333333
South Fremantle,South Fremantle,-32.06891256702381,115.75463666309523,468.0,1098303.7142857143,577.2857142857143
South Guildford,South Guildford,-31.90917172313333,115.98263080066667,2248.0,556700.0,678.0466666666666
South Lake,South Lake,-32.107426182910444,115.84072697313434,7332.0,440212.7388059702,685.9029850746268
South Perth,South Perth,-31.98124478222222,115.86870323333332,1024.0,1215011.111111111,1246.888888888889
Southern River,Southern River,-32.098983575299144,115.94902863162393,4358.0,573339.0256410256,604.957264957265
Spearwood,Spearwood,-32.10743676878788,115.78483366060605,2060.0,504893.9393939394,753.9545454545455
St James,St James,-31.99986432114286,115.90952491857142,3846.0,550075.0,744.0
Stirling,Stirling,-31.88632049395349,115.81390015813953,5599.0,826969.8682170543,587.9147286821706
Stoneville,Stoneville,-31.86736013181818,116.17001147,8038.0,607250.0,9552.6
Stratton,Stratton,-31.865815768166666,116.04093439666667,5244.0,337497.25,510.7583333333333
Subiaco,Subiaco,-31.949359522363636,115.82233384545454,2887.0,1238516.1636363636,581.0363636363636
Success,Success,-32.14462138818182,115.84917271363635,8178.0,526943.1818181818,586.2159090909091
Swan View,Swan View,-31.884078903908044,116.04916679195402,5477.0,436791.5747126437,984.0114942528736
Swanbourne,Swanbourne,-31.977456024579443,115.76853612149533,1334.0,1597306.168224299,551.5233644859813
Tapping,Tapping,-31.719522682317077,115.79668114085365,5879.0,489777.43902439025,595.2560975609756
The Vines,The Vines,-31.75693472657534,116.00458978698632,14468.0,675656.506849315,1825.3287671232877
Thornlie,Thornlie,-32.064131483749996,115.95353746666666,6371.0,407145.8333333333,696.6041666666666
Trigg,Trigg,-31.873573832068967,115.75822935344829,558.0,1236051.3620689656,726.2155172413793
